plab_GeV,sigma_mb,sigma_err_mb
0.09875,8.87,0.3
0.16,13.6,1.9
0.1652,15.8,0.2
0.176,17.7,0.9
0.18101,21.0,8.0
0.189,21.2,1.0
0.1898,23.12,0.15
0.191,22.2,2.0
0.204,28.0,0.8
0.206,29.3,1.2
0.2093,31.0,9.0
0.2122,33.74,0.19
0.2187,38.44,0.18
0.21885,33.4,3.2
0.22,38.6,0.7
0.222,39.3,1.1
0.2274,44.48,0.21
0.23063,42.7,2.0
0.23413,46.9,2.4
0.236,47.7,0.8
0.23645,52.0,6.0
0.238,50.3,1.2
0.2433,55.35,0.2
0.24684,48.1,4.5
0.251,58.2,0.7
0.253,59.1,0.8
0.25371,55.3,1.6
0.25599,63.7,2.0
0.25599,60.7,3.0
0.25599,60.0,3.2
0.26021,56.4,2.0
0.26168,62.9,2.4
0.2646,67.9,0.25
0.266,66.2,0.6
0.268,68.1,0.9
0.2704,70.26,0.25
0.27071,67.5,1.5
0.2752,63.0,4.0
0.27536,67.2,1.1
0.276,71.0,0.9
0.27632,62.7,1.9
0.2792,70.74,0.25
0.281,71.9,0.6
0.28285,67.2,1.1
0.283,72.2,0.8
0.28303,66.0,6.0
0.28637,65.9,2.5
0.29033,67.7,1.0
0.291,70.6,0.8
0.2926,69.76,0.24
0.29303,63.5,1.6
0.29552,67.8,0.8
0.296,68.8,0.6
0.298,68.8,0.8
0.30242,64.0,1.0
0.30297,64.6,2.5
0.30297,74.0,5.0
0.30407,63.1,2.5
0.306,65.5,0.8
0.3076,63.8,1.0
0.311,62.3,0.6
0.31293,59.3,1.0
0.313,62.7,0.7
0.31811,58.7,1.1
0.3193,59.43,0.22
0.31941,57.2,2.9
0.3205,64.0,5.0
0.3233,55.6,1.0
0.32594,55.5,2.2
0.327,55.0,0.5
0.328,56.4,0.7
0.32812,60.0,6.0
0.32812,54.5,5.0
0.32848,52.2,1.0
0.33138,53.2,1.5
0.33138,52.1,2.3
0.33367,50.2,0.9
0.33571,50.5,2.1
0.33728,48.2,0.9
0.33788,52.9,1.4
0.34074,49.0,0.9
0.341,48.8,0.4
0.3422,58.0,9.0
0.343,48.8,0.5
0.34436,44.5,0.9
0.345,47.06,0.18
0.34797,44.9,0.9
0.34867,46.1,2.4
0.34985,48.3,3.3
0.35144,42.7,0.9
0.35298,43.5,2.3
0.35491,43.1,0.9
0.356,42.9,0.4
0.358,41.5,0.5
0.35853,41.0,0.9
0.36201,39.3,0.9
0.36549,39.8,0.8
0.36911,38.8,0.8
0.3695,38.46,0.14
0.371,38.1,0.6
0.37227,38.2,2.4
0.37274,36.8,0.8
0.373,38.3,0.5
0.37812,35.6,0.8
0.38176,36.5,2.4
0.38351,33.4,0.8
0.386,33.3,0.4
0.3889,31.1,0.8
0.3943,32.4,0.8
0.39971,31.6,0.8
0.401,31.1,0.4
0.40512,30.5,0.8
0.40626,33.0,2.0
0.4064,29.97,0.11
0.41055,29.3,0.8
0.415,30.83,0.2
0.416,29.0,0.3
0.41612,28.9,0.8
0.42156,28.1,0.8
0.42407,30.2,1.8
0.42716,28.7,0.7
0.42736,27.7,0.7
0.42736,27.89,0.67
0.43,27.8,0.4
0.43262,27.0,0.6
0.435,28.19,0.17
0.43809,26.2,0.6
0.44311,26.8,1.2
0.44312,26.4,0.6
0.445,27.0,0.2
0.44935,26.0,0.6
0.455,26.73,0.15
0.45881,25.98,0.62
0.46,26.6,0.2
0.46065,24.9,1.0
0.46925,26.73,0.48
0.474,26.36,0.67
0.475,26.1,0.3
0.475,26.18,0.17
0.47723,25.2,1.0
0.47968,25.98,0.6
0.489,26.4,0.3
0.49008,27.0,2.0
0.4932,28.81,1.4
0.4932,26.7,0.55
0.495,26.5,0.14
0.499,27.04,0.59
0.49903,28.9,1.4
0.50047,27.23,0.46
0.51085,26.5,0.46
0.513,27.49,0.54
0.515,26.7,0.11
0.53155,27.57,0.44
0.535,27.19,0.18
0.53625,34.0,0.6
0.54188,28.4,0.9
0.54452,29.5,1.4
0.54705,28.06,0.46
0.54808,29.44,1.4
0.54911,27.0,2.0
0.55,28.52,0.5
0.555,27.88,0.13
0.56251,27.15,0.4
0.565,29.36,0.45
