plab_GeV,sigma_mb,sigma_err_mb
0.10149,6.4,2.1
0.11924,9.8,1.5
0.12077,12.0,3.0
0.137,20.0,10.0
0.137,17.6,2.2
0.15633,19.0,2.6
0.1584,26.09,0.52
0.16,25.3,2.2
0.1669,31.0,3.0
0.17209,50.0,13.0
0.17337,34.0,4.0
0.176,37.3,1.0
0.189,50.3,1.8
0.191,52.8,2.6
0.1915,54.68,0.28
0.19472,62.4,8.0
0.204,71.4,1.3
0.206,75.2,1.8
0.20689,77.0,6.0
0.21648,91.0,6.0
0.2176,96.25,0.47
0.2193,101.04,1.01
0.22,97.6,2.1
0.222,103.7,1.9
0.22828,122.0,8.0
0.236,131.2,1.7
0.23645,126.0,4.0
0.23645,126.0,20.0
0.2376,141.19,0.57
0.23761,152.0,14.0
0.238,139.6,2.1
0.2407,148.6,0.55
0.24224,133.0,8.0
0.24454,150.0,8.0
0.24569,140.5,5.0
0.24684,151.0,4.0
0.251,167.7,1.2
0.253,173.2,1.5
0.25371,164.5,4.6
0.25486,151.0,19.0
0.25599,175.0,6.0
0.2603,189.66,0.64
0.26054,170.0,5.0
0.266,192.0,3.1
0.2664,198.38,0.64
0.26733,170.5,3.5
0.268,198.3,1.7
0.26958,169.0,5.0
0.27071,188.2,5.4
0.27183,187.0,7.0
0.2741,204.24,0.65
0.276,204.3,1.5
0.27632,194.9,5.5
0.27632,198.0,3.5
0.27744,205.0,6.0
0.2808,193.0,6.0
0.281,203.7,3.3
0.283,204.7,1.6
0.28414,198.0,5.0
0.28692,193.5,3.5
0.2897,166.0,20.0
0.2903,202.91,0.67
0.291,203.1,1.3
0.29137,192.0,3.5
0.29192,196.0,6.0
0.29303,188.0,8.0
0.296,194.2,1.5
0.2969,194.1,5.2
0.298,194.3,1.5
0.30297,200.0,6.0
0.30407,174.0,4.0
0.30517,202.0,14.0
0.306,188.3,1.2
0.311,178.3,1.5
0.313,174.7,1.4
0.31504,178.0,4.5
0.3154,173.46,0.59
0.31941,179.0,6.0
0.327,156.8,1.0
0.328,154.8,1.3
0.33029,156.0,7.0
0.3406,134.81,0.44
0.341,134.0,0.9
0.34112,132.0,7.0
0.343,131.9,1.1
0.34328,151.0,18.2
0.35298,125.6,2.5
0.356,113.9,0.8
0.358,111.9,0.9
0.36103,114.5,2.9
0.3681,100.63,0.36
0.371,96.2,1.1
0.373,96.6,0.8
0.38509,85.2,3.0
0.386,84.3,0.6
0.387,84.1,0.7
0.3986,73.82,0.3
0.401,73.8,0.5
0.415,64.31,0.18
0.416,64.7,0.4
0.42423,65.7,2.2
0.42736,60.3,1.2
0.43,57.4,0.4
0.435,55.86,0.2
0.43576,58.92,1.16
0.445,51.0,0.3
0.455,46.63,0.14
0.46,45.8,0.3
0.464,41.23,0.9
0.46717,45.22,0.84
0.475,40.81,0.16
0.475,41.4,0.3
0.488,40.69,0.74
0.489,37.8,0.3
0.489,35.32,0.75
0.49008,39.3,0.8
0.495,35.92,0.16
0.49632,40.39,1.62
0.50251,40.78,1.62
0.512,31.15,0.6
0.515,31.9,0.13
0.51914,34.58,0.64
0.53155,31.4,0.8
0.535,29.02,0.09
0.53982,29.04,0.55
0.54,27.11,0.55
0.555,26.25,0.07
0.56045,26.53,0.52
0.565,24.36,0.42
0.57281,25.7,0.5
0.575,23.33,0.11
0.58104,23.79,0.84
0.59235,23.47,1.08
0.594,21.45,0.38
0.595,21.3,0.19
0.59949,23.67,1.08
0.60159,22.23,0.78
0.6139,21.5,0.7
0.614,19.75,0.1
0.62107,23.8,0.4
0.625,18.95,0.27
0.632,18.11,0.07
0.63235,19.37,0.53
0.635,17.0,3.4
0.65,16.93,0.08
0.654,17.11,0.24
0.668,15.96,0.08
0.67836,18.1,0.7
0.68346,14.93,0.41
0.685,16.01,0.22
0.687,14.95,0.1
0.69265,17.26,0.82
0.69979,17.37,0.82
0.705,14.46,0.16
0.7059,16.2,0.8
0.711,15.16,0.21
0.72216,18.6,0.5
0.723,14.12,0.09
0.72628,15.7,0.6
0.72628,16.06,0.8
0.73,15.0,0.21
0.741,14.1,0.15
0.75274,15.11,0.72
0.75978,15.16,0.72
0.76,14.35,0.08
0.764,14.71,0.2
0.77714,15.1,0.5
0.778,14.62,0.11
0.78329,16.1,0.4
0.791,14.86,0.11
0.79136,14.75,0.67
0.794,15.21,0.18
0.80043,14.77,0.67
0.812,15.75,0.18
0.815,15.41,0.12
0.818,15.96,0.18
0.82377,18.0,0.3
0.82586,16.6,0.5
0.833,16.42,0.09
0.838,16.89,0.18
0.851,17.5,0.09
0.868,18.6,0.18
0.87,18.64,0.05
0.88467,20.7,0.4
0.897,20.38,0.18
0.8988,19.44,0.8
0.90694,19.44,0.8
0.9241,23.0,0.4
0.931,22.29,0.18
0.94532,23.43,0.61
0.94734,21.4,0.81
0.9564,21.36,0.81
0.962,23.38,0.18
0.96546,24.4,0.4
0.96756,22.49,0.83
0.97669,22.42,0.83
0.98474,25.1,0.4
0.992,24.1,0.17
0.99281,21.88,0.86
0.99584,23.37,0.68
1.002,21.85,0.86
1.02,22.0,0.9
1.02,24.58,0.17
1.0251,25.9,0.5
1.04529,23.12,0.74
1.049,25.3,0.17
1.0544,26.5,0.4
1.0846,26.5,0.5
1.09,25.97,0.18
1.09572,23.8,0.78
1.1249,26.5,0.5
1.131,27.15,0.18
1.1451,25.85,0.84
1.1653,27.8,0.4
1.17,28.57,0.19
1.1854,29.0,0.4
1.19545,26.78,0.94
1.2,29.94,0.19
1.2217,30.1,1.6
1.2257,31.0,0.5
1.23,31.45,0.19
1.24578,27.51,1.07
1.259,33.2,0.19
1.278,34.54,0.19
1.286,33.7,0.4
1.29608,30.65,1.19
1.299,35.85,0.19
1.3252,36.1,0.4
1.337,38.33,0.18
1.34535,35.27,1.37
1.3665,38.1,0.6
1.378,40.05,0.16
1.3855,39.9,0.4
1.39561,36.64,1.56
1.403,40.92,0.16
1.42,39.5,0.5
1.42073,37.37,1.45
1.4257,40.6,0.4
1.434,41.46,0.16
1.44585,38.07,1.47
1.47096,37.65,1.54
1.4759,40.9,0.4
1.476,41.02,0.16
1.49607,36.16,1.56
1.506,40.25,0.18
1.517,40.08,0.18
1.5253,39.5,0.5
1.54528,36.53,1.6
1.556,38.32,0.18
1.5654,38.2,0.4
1.585,40.0,0.4
1.59548,34.1,1.59
1.6,36.5,0.97
1.605,36.05,0.17
1.6246,36.1,0.5
1.64365,34.9,0.47
1.654,34.57,0.2
1.6656,34.4,0.4
1.721,32.2,0.23
1.7249,32.7,0.4
1.73,30.3,0.42
1.7691,31.5,0.4
1.785,31.07,0.25
1.82424,30.62,0.47
1.8253,30.2,0.4
1.851,30.15,0.26
1.89,29.0,0.75
1.9245,29.9,0.3
1.929,29.53,0.28
1.954,29.4,0.29
1.98467,29.23,0.44
2.004,29.33,0.3
2.03479,29.31,0.43
2.042,29.28,0.32
2.05,28.3,0.63
2.053,29.21,0.32
2.077,28.75,1.0
2.101,29.28,0.34
2.11,29.17,0.04
2.13501,29.07,0.3
2.21,29.414,0.03
2.24524,30.01,0.29
2.32,29.847,0.02
2.34542,30.89,0.27
2.42,30.439,0.02
2.45561,31.1,0.26
2.469,30.99,0.42
2.47,29.2,0.57
2.52,30.762,0.02
2.55576,30.55,0.27
2.62,30.824,0.02
2.65591,30.89,0.27
2.72,30.618,0.02
2.76605,29.99,0.27
2.82,30.15,0.02
2.86617,29.87,0.26
2.92,28.7,0.5
2.92,29.661,0.02
2.96629,29.49,0.23
2.97,29.5,0.53
3.02,29.167,0.02
3.0664,28.96,0.35
3.12,28.831,0.015
3.1665,28.84,0.22
3.22,28.594,0.015
3.2766,28.38,0.27
3.32,28.404,0.015
3.42,28.316,0.015
3.47677,28.43,0.22
3.52,28.224,0.015
3.58,28.6,0.46
3.62,28.184,0.015
3.68693,27.99,0.16
3.72,28.069,0.015
3.82,27.996,0.01
3.89707,27.7,0.23
3.93,27.851,0.01
4.0,27.8,0.53
4.0,28.0,0.1
4.03,27.721,0.01
4.1072,27.37,0.26
4.13,27.559,0.01
4.23,27.392,0.01
4.31731,27.84,0.23
4.33,27.243,0.01
4.43,27.091,0.01
4.5,27.6,0.3
4.52742,27.22,0.23
4.53,26.971,0.01
4.63,26.866,0.01
4.73,26.774,0.01
4.83,26.67,0.01
4.93,26.594,0.01
5.03,26.483,0.01
5.13,26.417,0.01
5.23,26.305,0.01
5.33,26.232,0.01
5.44,26.115,0.01
5.54,26.048,0.01
5.64,25.97,0.025
5.74,25.922,0.025
5.75,26.9,0.4
5.84,25.795,0.025
