Data_Type,Energy_Variable,Energy_Value_MeV,Cross_Section_mb,Error_mb,Reference,Status
Fit/Grid,PLAB,20.000,4.743,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,120.000,7.893,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,220.000,38.410,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,320.000,58.420,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,420.000,28.120,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,520.000,28.150,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,620.000,31.910,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,720.000,46.250,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,820.000,35.920,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,920.000,45.700,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1020.000,59.280,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1120.000,43.080,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1220.000,36.990,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1320.000,36.710,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1420.000,36.890,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1520.000,35.960,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1620.000,35.000,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1720.000,34.750,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1820.000,35.060,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1920.000,35.600,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,2020.000,36.060,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,2120.000,36.170,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,2220.000,35.760,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,2320.000,34.970,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,2420.000,34.000,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,2520.000,33.030,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,2620.000,32.150,0.000,SAID WI08 Fit,Included
