Data_Type,Energy_Variable,Energy_Value_MeV,Cross_Section_mb,Error_mb,Reference,Status
Fit/Grid,PLAB,0.000,1.539,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,100.000,5.538,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,200.000,62.750,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,300.000,194.600,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,400.000,73.860,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,500.000,33.990,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,600.000,20.630,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,700.000,16.070,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,800.000,16.240,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,900.000,21.440,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1000.000,24.520,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1100.000,26.160,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1200.000,29.910,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1300.000,36.090,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1400.000,40.840,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1500.000,39.800,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1600.000,35.760,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1700.000,32.390,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1800.000,30.310,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,1900.000,29.220,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,2000.000,28.780,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,2100.000,28.770,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,2200.000,29.040,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,2300.000,29.480,0.000,SAID WI08 Fit,Included
Fit/Grid,PLAB,2400.000,30.000,0.000,SAID WI08 Fit,Included
